PB Mission Data Output File;
@MISSION: PB_RETRIEVAL_MOTHER;
.
.
----- ----- ----- BETA DATA ----- ----- -----;
Point nr;0;1;2;3;4;5;6;7;
Time (s);3949.807;3956.496;3957.834;3976.562;3979.238;3980.576;3981.787;5824.115;
Acceleration X (m/s/s);1.68;1.68;1.67;-8.9;-8.88;-8.91;-8.92;-8.9;
Acceleration Y (m/s/s);0.48;0.49;0.46;1.33;1.32;1.31;1.31;1.31;
Acceleration Z (m/s/s);10.43;10.46;10.44;4.13;4.14;4.13;4.16;4.13;
Gyroscope X (m/s/s);0.02;0.02;0.02;-0.02;-0.02;-0.02;-0.02;-0.02;
Gyroscope Y (m/s/s);-0.02;-0.04;0.04;0.04;0.04;0.04;0.04;0.04;
Gyroscope Z (m/s/s);-0.02;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;
Compass X (m/s/s);-8.72;41.47;40.26;40.6;41.12;41.64;40.78;42.16;
Compass Y (m/s/s);11.62;-1.03;0.52;-2.24;-0.69;-0.86;-1.38;-1.03;
Compass Z (m/s/s);-38.88;-29.84;-29.34;-29.67;-30.5;-29.01;-31.82;-29.84;
Air pressure (Pa);102292.73;102296.94;102290.28;102339.69;102336.33;102337.9;102341.19;102336.17;
Air temperature (degC);45.8;45.9;45.8;48.7;48.7;48.7;48.7;48.7;
Altitude (m)[corrected];7.05;6.71;7.26;6.79;7.07;6.94;6.67;7.09;
Humidity (%);34.97;34.93;34.94;28.92;28.69;28.61;28.5;28.44;
GPS-latitude (deg);44.5175;44.5175;44.5175;44.5175;44.5175;44.5173;44.5173;44.5173;
GPS-longitude (deg);11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;
TVOC (ppm);89.0;95.0;99.0;98.0;101.0;103.0;99.0;113.0;
ECO2 (ppm);400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;
Data Synchronization Points;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;
Battery voltage (volt);3.6;3.62;3.6;3.62;3.6;3.6;3.62;3.61;
GPS fix (1/0);1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
GPS satellites (int);9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;
GPS timestring;10.022.02.0;10.022.09.0;10.022.010.0;10.022.029.0;10.022.031.0;10.022.033.0;10.022.034.0;10.022.035.0;
.
.
----- ----- ----- RHO DATA ----- ----- -----;
Point nr;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;
Time (s);5768.352;5769.68;5790.919;5793.575;5794.903;5796.231;5816.148;5820.132;5826.77;5828.098;5829.425;5830.753;5832.081;5855.982;5857.309;5858.636;5863.947;5865.274;5866.602;5869.258;5871.914;
Acceleration X (m/s/s);-8.92;-8.9;-8.91;-8.91;-8.9;-8.9;-8.89;-8.88;-8.91;-8.91;-8.89;-8.91;-8.91;-8.9;-8.9;-8.91;-8.9;-8.91;-8.91;-8.91;-8.91;
Acceleration Y (m/s/s);1.32;1.32;1.31;1.33;1.31;1.31;1.3;1.32;1.32;1.33;1.31;1.33;1.32;1.31;1.32;1.32;1.3;1.32;1.3;1.33;1.31;
Acceleration Z (m/s/s);4.16;4.14;4.14;4.15;4.16;4.18;4.16;4.14;4.18;4.17;4.15;4.17;4.18;4.15;4.18;4.15;4.17;4.15;4.16;4.19;4.17;
Gyroscope X (m/s/s);-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;
Gyroscope Y (m/s/s);0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;
Gyroscope Z (m/s/s);-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;
Compass X (m/s/s);40.09;42.16;41.99;41.29;41.29;42.33;41.99;41.12;40.6;41.47;41.12;41.81;42.33;41.47;41.64;42.33;41.29;41.47;41.99;41.81;40.43;
Compass Y (m/s/s);0.34;0.34;-0.17;-0.52;-0.52;1.21;-0.52;-0.69;-0.52;-1.38;0.34;-0.69;0.17;-0.34;-0.17;-0.17;0.86;-0.69;-0.17;-1.03;0.34;
Compass Z (m/s/s);-29.17;-30.17;-30.33;-29.67;-30.0;-30.0;-29.34;-30.5;-29.01;-29.5;-30.83;-30.5;-29.67;-31.16;-32.32;-31.33;-30.33;-31.16;-31.0;-32.16;-31.82;
Air pressure (Pa);102334.51;102335.36;102335.84;102335.48;102336.68;102333.39;102336.19;102336.33;102336.34;102334.52;102335.91;102336.63;102338.74;102337.34;102335.28;102334.36;102337.12;102339.8;102339.45;102337.55;102338.53;
Air temperature (degC);48.2;48.2;48.5;48.5;48.5;48.5;48.7;48.7;48.7;48.8;48.8;48.8;48.7;48.8;48.8;48.9;48.8;48.9;48.9;49.0;49.0;
Altitude (m)[corrected];7.22;7.15;7.11;7.14;7.04;7.31;7.08;7.07;7.07;7.22;7.11;7.05;6.87;6.99;7.16;7.23;7.01;6.78;6.81;6.97;6.89;
Humidity (%);30.58;30.65;30.37;30.46;30.35;30.41;28.98;28.69;28.44;28.61;28.85;29.02;28.92;28.37;28.4;28.38;28.6;28.53;28.51;28.64;28.93;
GPS-latitude (deg);44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;44.5173;
GPS-longitude (deg);11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;11.633;
TVOC (ppm);47.0;58.0;89.0;93.0;94.0;91.0;102.0;101.0;111.0;116.0;109.0;101.0;98.0;107.0;114.0;113.0;110.0;124.0;121.0;119.0;125.0;
ECO2 (ppm);400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;
Data Synchronization Points;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;
Battery voltage (volt);3.6;3.63;3.6;3.62;3.6;3.62;3.6;3.6;3.62;3.62;3.6;3.6;3.62;3.62;3.6;3.62;3.61;3.6;3.6;3.6;3.61;
GPS fix (1/0);1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
GPS satellites (int);9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;
GPS timestring;10.021.040.0;10.021.041.0;10.022.02.0;10.022.05.0;10.022.06.0;10.022.08.0;10.022.028.0;10.022.032.0;10.022.038.0;10.022.039.0;10.022.041.0;10.022.042.0;10.022.043.0;10.023.07.0;10.023.09.0;10.023.010.0;10.023.015.0;10.023.017.0;10.023.018.0;10.023.021.0;10.023.023.0;
.
.
----- ----- ----- MU DATA ----- ----- -----;
Point nr;
Time (s);
Acceleration X (m/s/s);
Acceleration Y (m/s/s);
Acceleration Z (m/s/s);
Gyroscope X (m/s/s);
Gyroscope Y (m/s/s);
Gyroscope Z (m/s/s);
Compass X (m/s/s);
Compass Y (m/s/s);
Compass Z (m/s/s);
Air pressure (Pa);
Air temperature (degC);
Altitude (m)[corrected];
Humidity (%);
GPS-latitude (deg);
GPS-longitude (deg);
TVOC (ppm);
ECO2 (ppm);
Data Synchronization Points;
Battery voltage (volt);
GPS fix (1/0);
GPS satellites (int);
GPS timestring;